2025-08-04 22:24:59,061  | Error   | No camera detected.
2025-08-04 22:24:59,062  | Info    | BNO055 IMU detected and responding.
2025-08-04 22:24:59,063  | Info    | Setting CONFIG mode
2025-08-04 22:24:59,164  | Info    | loading calibration data...
2025-08-04 22:24:59,170  | Warning | Calibration written to sensor.
2025-08-04 22:24:59,170  | Info    | Entering NDOF_FMC_OFF mode to lock calibration...
2025-08-04 22:24:59,272  | Info    | Format - Euler angles - (Heading, Roll, Pitch)
2025-08-04 22:24:59,273  | Info    | Format - Quaternion - (w, x, y, z)
2025-08-04 22:24:59,277  | Info    | Starting serial communications...
2025-08-04 22:24:59,282  | Info    | Starting WebSocket server...
2025-08-04 22:24:59,309  | Info    | WebSocket server started on ws://192.168.55.160:6789
2025-08-04 22:25:06,487  | Warning | Jitter detected Difference: 1.055622951815212
2025-08-04 22:25:14,690  | Warning | Jitter detected Difference: 1.055622951815212
2025-08-04 22:25:17,961  | Warning | Jitter detected Difference: 1.0617742297050954
2025-08-04 22:25:22,681  | Warning | Jitter detected Difference: 1.055622951815212
2025-08-04 22:25:25,828  | Warning | Jitter detected Difference: 1.0617742297050954
2025-08-04 22:25:27,856  | Warning | Jitter detected Difference: 1.0617742297050954
2025-08-04 22:25:29,384  | Warning | Jitter detected Difference: 1.055622951815212
2025-08-04 22:25:29,415  | Warning | Jitter detected Difference: 1.0617742297050954
2025-08-04 22:25:32,527  | Warning | Jitter detected Difference: 1.055622951815212
2025-08-04 22:25:35,976  | Warning | Jitter detected Difference: 1.055622951815212
2025-08-04 22:25:37,626  | Warning | Jitter detected Difference: 1.055622951815212
2025-08-04 22:25:38,076  | Warning | Jitter detected Difference: 1.055622951815212
2025-08-04 22:25:40,175  | Warning | Jitter detected Difference: 1.055622951815212
2025-08-04 22:25:45,723  | Warning | Jitter detected Difference: 1.0617742297050954
2025-08-04 22:25:47,522  | Warning | Jitter detected Difference: 1.055622951815212
2025-08-04 22:25:48,068  | Warning | Jitter detected Difference: 1.055622951815212
2025-08-04 22:25:58,768  | Warning | Jitter detected Difference: 1.0617711805570684
2025-08-04 22:25:59,667  | Warning | Jitter detected Difference: 1.0556199703368983
2025-08-04 22:25:59,818  | Warning | Jitter detected Difference: 1.52904224095941
2025-08-04 22:26:02,516  | Warning | Jitter detected Difference: 1.0556199703368983
2025-08-04 22:26:05,665  | Warning | Jitter detected Difference: 1.0556199703368983
2025-08-04 22:26:08,964  | Warning | Jitter detected Difference: 1.0556199703368983
2025-08-04 22:26:10,913  | Warning | Jitter detected Difference: 1.0617711805570684
2025-08-04 22:26:11,663  | Warning | Jitter detected Difference: 1.0617711805570684
2025-08-04 22:26:12,412  | Warning | Jitter detected Difference: 1.0556199703368983
2025-08-04 22:26:16,447  | Warning | Jitter detected Difference: 0.3389856502068264
2025-08-04 22:26:20,360  | Warning | Jitter detected Difference: 1.0556199703368983
2025-08-04 22:26:21,109  | Warning | Jitter detected Difference: 1.0556199703368983
2025-08-04 22:26:23,493  | Warning | Jitter detected Difference: 1.0556199703368983
2025-08-04 22:26:25,534  | Warning | Jitter detected Difference: 1.0556199703368983
2025-08-04 22:26:28,157  | Warning | Jitter detected Difference: 1.0556199703368983
2025-08-04 22:26:28,457  | Warning | Jitter detected Difference: 1.52904224095941
2025-08-04 22:26:30,556  | Warning | Jitter detected Difference: 1.0617711805570684
2025-08-04 22:26:33,255  | Warning | Jitter detected Difference: 1.0617711805570684
2025-08-04 22:26:35,641  | Warning | Jitter detected Difference: 1.0556199703368983
2025-08-04 22:26:35,805  | Warning | Jitter detected Difference: 1.52904224095941
2025-08-04 22:26:35,954  | Warning | Jitter detected Difference: 1.0617711805570684
2025-08-04 22:26:39,252  | Warning | Jitter detected Difference: 1.0556199703368983
2025-08-04 22:26:41,502  | Warning | Jitter detected Difference: 1.0617711805570684
2025-08-04 22:26:46,449  | Warning | Jitter detected Difference: 1.0617711805570684
2025-08-04 22:26:47,950  | Warning | Jitter detected Difference: 1.52904224095941
2025-08-04 22:26:48,077  | Info    | Received from client: {"action":"disconnecting"}
2025-08-04 22:26:48,078  | Info    | Received command: {"action":"disconnecting"}
2025-08-04 22:26:48,078  | Error   | Unknown command: {'action': 'disconnecting'}
2025-08-04 22:26:48,251  | Warning | Requested live video feed.
2025-08-04 22:26:48,252  | Info    | Starting video feed
2025-08-04 22:26:48,252  | Error   | Camera is not initialized.
2025-08-04 22:26:52,198  | Warning | Jitter detected Difference: 1.52904224095941
2025-08-04 22:26:54,995  | Warning | Jitter detected Difference: 1.0556199703368983
