
--- Batch Run Started ---
ImageName;Quaternion(w;x;y;z);ExecutionTime_s
Stellarium_test_image_195p00000_60p00000.png001.png;quaternioncoord(-0.4681;-0.2512;0.0621;0.8449);0.9129
Stellarium_test_image_195p00000_90p00000.png001.png;quaternioncoord(-0.6671;0.0001;-0.0003;0.7449);1.2740
Stellarium_test_image_195p00000_m30p00000.png001.png;quaternioncoord(0.2434;-0.6216;-0.6032;0.4365);1.1046
Stellarium_test_image_195p00000_m60p00000.png001.png;quaternioncoord(0.1256;-0.6943;-0.6717;0.2259);0.7404
Stellarium_test_image_195p00000_m90p00000.png001.png;quaternioncoord(-0.0001;-0.7538;-0.6571;-0.0004);1.3961
Stellarium_test_image_210p00000_0p00000.png001.png;quaternioncoord(-0.1530;0.5223;0.4746;-0.6918);1.2411
Stellarium_test_image_210p00000_30p00000.png001.png;quaternioncoord(0.0158;-0.5537;-0.7305;0.3995);1.1930
Stellarium_test_image_210p00000_60p00000.png001.png;quaternioncoord(-0.4185;-0.2581;-0.0199;0.8706);1.1543
Stellarium_test_image_210p00000_90p00000.png001.png;quaternioncoord(-0.6672;0.0000;-0.0003;0.7448);1.2585
Stellarium_test_image_210p00000_m30p00000.png001.png;quaternioncoord(-0.1428;0.5952;0.6293;-0.4789);0.8324
Stellarium_test_image_210p00000_m60p00000.png001.png;quaternioncoord(0.0714;-0.6705;-0.6955;0.2484);0.7360
Stellarium_test_image_210p00000_m90p00000.png001.png;quaternioncoord(-0.0001;-0.7538;-0.6571;-0.0004);1.3558
Stellarium_test_image_225p00000_0p00000.png001.png;quaternioncoord(0.0282;-0.4797;-0.5198;0.7064);1.3921
Stellarium_test_image_225p00000_30p00000.png001.png;quaternioncoord(-0.0973;-0.3911;-0.3120;0.8604);0.8178
Stellarium_test_image_225p00000_60p00000.png001.png;quaternioncoord(0.4122;0.2437;0.0878;-0.8735);0.7650
Stellarium_test_image_225p00000_90p00000.png001.png;quaternioncoord(-0.6673;0.0000;-0.0003;0.7448);1.2732
Stellarium_test_image_225p00000_m30p00000.png001.png;quaternioncoord(0.0411;-0.5599;-0.6609;0.4980);0.7001
Stellarium_test_image_225p00000_m60p00000.png001.png;quaternioncoord(0.0140;-0.6449;-0.7193;0.2581);0.8022
Stellarium_test_image_225p00000_m90p00000.png001.png;quaternioncoord(-0.0001;-0.7537;-0.6573;-0.0004);1.3669
Stellarium_test_image_240p00000_0p00000.png001.png;quaternioncoord(-0.0974;-0.4346;-0.5581;0.7001);1.6210
Stellarium_test_image_240p00000_30p00000.png001.png;quaternioncoord(0.1995;0.3431;0.3641;-0.8425);1.6457
